strain	virus	id	host	country	region	date
M17212	RSV-A	GA1	Homo-sapiens	USA	north_america	1956-XX-XX
KP258716	RSV-A	NA	Homo-sapiens	USA	north_america	1979-XX-XX
KP258715	RSV-A	NA	Homo-sapiens	USA	ns	1988-XX-XX
KP258696	RSV-A	NA	Homo-sapiens	USA	north_america	1986-XX-XX
KU316137	RSV-A	NA	Homo-sapiens	USA	north_america	1979-XX-XX
KU316143	RSV-A	NA	Homo-sapiens	USA	north_america	1982-XX-XX
KP258725	RSV-A	NA	Homo-sapiens	USA	north_america	1980-XX-XX
JX513302	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2002-XX-XX
JX513310	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2002-XX-XX
JQ901456	RSV-A	ON1	Homo-sapiens	Netherlands	Europe	2003-11-25
KF826828	RSV-A	NA	Homo-sapiens	Argentina	south_america	2004-06-04
JX513309	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2005-XX-XX
JX513300	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2005-XX-XX
KF826846	RSV-A	NA	Homo-sapiens	Argentina	south_america	2008-05-15
KF826816	RSV-A	NA	Homo-sapiens	Mexico	north_america	2005-12-19
KF826852	RSV-A	NA	Homo-sapiens	USA	north_america	2007-XX-XX
KF826850	RSV-A	NA	Homo-sapiens	USA	north_america	2008-XX-XX
KF826841	RSV-A	NA	Homo-sapiens	Argentina	south_america	2007-05-02
KF530268	RSV-A	NA	Homo-sapiens	Mexico	north_america	2007-01-27
JX513298	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2005-XX-XX
JX015487	RSV-A	ON1	Homo-sapiens	Netherlands	Europe	2006-01-02
KF826826	RSV-A	NA	Homo-sapiens	Mexico	north_america	2004-12-24
JX513350	RSV-A	GA5	Homo-sapiens	Brazil	south_america	2007-XX-XX
KM508822	RSV-A	A	Homo-sapiens	Paraguay	south_america	2012-07-05
KU950609	RSV-A	NA	Homo-sapiens	USA	north_america	2012-10-22
KC297392	RSV-A	NA	Homo-sapiens	China	Asia	2007-XX-XX
KF826827	RSV-A	NA	Homo-sapiens	Argentina	south_america	2004-05-26
JX513283	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2005-XX-XX
JX513270	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2006-XX-XX
JN257698	RSV-A	ON1	Homo-sapiens	Canada	north_america	2011-01-12
KC476656	RSV-A	GA5	Homo-sapiens	South-Africa	Africa	2010-XX-XX
KC297367	RSV-A	NA	Homo-sapiens	China	Asia	2012-XX-XX
JQ901448	RSV-A	ON1	Homo-sapiens	Netherlands	Europe	2001-01-07
KP317956	RSV-A	NA	Homo-sapiens	Kenya	Africa	2004-03-24
JQ901455	RSV-A	ON1	Homo-sapiens	Netherlands	Europe	2002-06-29
KF826847	RSV-A	NA	Homo-sapiens	Australia	Oceania	2007-XX-XX
HQ699264	RSV-A	ON1	Homo-sapiens	South-Korea	Asia	2010-01-01
HQ699263	RSV-A	ON1	Homo-sapiens	South-Korea	Asia	2009-11-01
KJ939943	RSV-A	NA	Homo-sapiens	Vietnam	Asia	2010-06-10
JX015488	RSV-A	ON1	Homo-sapiens	Netherlands	Europe	2006-01-09
JX513322	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2005-XX-XX
JX513292	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2005-XX-XX
JX513323	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2005-XX-XX
KF826854	RSV-A	NA	Homo-sapiens	Italy	Europe	2009-02-26
KP792353	RSV-A	GA5	Homo-sapiens	Spain	Europe	2007-12-18
KF530260	RSV-A	ON1	Homo-sapiens	Argentina	south_america	2005-06-21
JX513330	RSV-A	GA5	Homo-sapiens	Brazil	south_america	2007-XX-XX
JX069803	RSV-A	ON1	Homo-sapiens	USA	north_america	2000-03-04
JX513278	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2007-XX-XX
JX513382	RSV-A	GA5	Homo-sapiens	Brazil	south_america	2001-XX-XX
JX513375	RSV-A	GA5	Homo-sapiens	Brazil	south_america	2002-XX-XX
JX513388	RSV-A	GA5	Homo-sapiens	Brazil	south_america	2011-XX-XX
KU316096	RSV-A	NA	Homo-sapiens	USA	north_america	1996-XX-XX
KP258711	RSV-A	NA	Homo-sapiens	USA	north_america	1992-XX-XX
KP258701	RSV-A	NA	Homo-sapiens	USA	north_america	1994-XX-XX
KU316161	RSV-A	NA	Homo-sapiens	USA	north_america	1993-XX-XX
KU316104	RSV-A	NA	Homo-sapiens	USA	north_america	1991-XX-XX
JF920061	RSV-A	ON1	Homo-sapiens	USA	north_america	1998-05-02
FJ157344	RSV-A	ON1	Homo-sapiens	China	Asia	2006-02-22
HQ699265	RSV-A	ON1	Homo-sapiens	South-Korea	Asia	2008-05-01
HQ699279	RSV-A	ON1	Homo-sapiens	South-Korea	Asia	2009-12-01
HQ699278	RSV-A	ON1	Homo-sapiens	South-Korea	Asia	2009-11-01
HQ699271	RSV-A	ON1	Homo-sapiens	South-Korea	Asia	2009-04-01
FJ157346	RSV-A	ON1	Homo-sapiens	China	Asia	2006-03-02
KC297396	RSV-A	NA	Homo-sapiens	China	Asia	2007-XX-XX
KF300971	RSV-A	A	Homo-sapiens	Panama	north_america	2008-10-14
JX513326	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2008-XX-XX
JX513343	RSV-A	NA1	Homo-sapiens	Brazil	south_america	2011-XX-XX
KF530258	RSV-A	ON1	Homo-sapiens	South-Africa	Africa	2007-XX-XX
JX015497	RSV-A	ON1	Homo-sapiens	Netherlands	Europe	2008-12-06
JX015481	RSV-A	ON1	Homo-sapiens	Netherlands	Europe	2009-01-07
JF979152	RSV-A	ON1	Homo-sapiens	Latvia	Europe	2010-03-04
KC297388	RSV-A	NA	Homo-sapiens	China	Asia	2007-XX-XX
KC297355	RSV-A	NA	Homo-sapiens	China	Asia	2012-XX-XX
KC297317	RSV-A	NA	Homo-sapiens	China	Asia	2011-XX-XX
JN257701	RSV-A	ON1	Homo-sapiens	Canada	north_america	2011-01-28
JN257697	RSV-A	ON1	Homo-sapiens	Canada	north_america	2010-03-03
KC476733	RSV-A	NA1	Homo-sapiens	South-Africa	Africa	2012-XX-XX
KC476731	RSV-A	NA1	Homo-sapiens	South-Africa	Africa	2012-XX-XX
KC476737	RSV-A	NA1	Homo-sapiens	South-Africa	Africa	2012-XX-XX
KC342358	RSV-A	A	Homo-sapiens	Thailand	Asia	2010-09-15
JX513349	RSV-A	NA2	Homo-sapiens	Brazil	south_america	2011-XX-XX
JX513374	RSV-A	NA2	Homo-sapiens	Brazil	south_america	2011-XX-XX
JX513384	RSV-A	NA2	Homo-sapiens	Brazil	south_america	2011-XX-XX
JX513306	RSV-A	ON1	Homo-sapiens	Brazil	south_america	2011-XX-XX
JX513380	RSV-A	NA2	Homo-sapiens	Brazil	south_america	2011-XX-XX
JX513355	RSV-A	NA2	Homo-sapiens	Brazil	south_america	2004-XX-XX
