strain	virus	id	host	country	region	date
AF193328	RSV-B	NA	Homo-sapiens	South-Korea	Asia	1991-01-01
RSHGLYGA	RSV-B	GB1	Homo-sapiens	USA	north_america	1962-XX-XX
KU316116	RSV-B	NA	Homo-sapiens	USA	north_america	1977-XX-XX
KU316097	RSV-B	NA	Homo-sapiens	USA	north_america	1978-XX-XX
KU316147	RSV-B	NA	Homo-sapiens	USA	north_america	1979-XX-XX
KP856963	RSV-B	NA	Homo-sapiens	USA	north_america	1980-XX-XX
KP258736	RSV-B	NA	Homo-sapiens	USA	north_america	1982-XX-XX
KJ723479	RSV-B	NA	Homo-sapiens	USA	north_america	1983-XX-XX
KJ723485	RSV-B	NA	Homo-sapiens	USA	north_america	1984-XX-XX
KU316136	RSV-B	NA	Homo-sapiens	USA	north_america	1987-XX-XX
AF065251	RSV-B	GB2	Homo-sapiens	USA	north_america	1992-XX-XX
KJ723484	RSV-B	NA	Homo-sapiens	USA	north_america	1993-XX-XX
KU316100	RSV-B	NA	Homo-sapiens	USA	north_america	1994-XX-XX
AF233931	RSV-B	GB4	Homo-sapiens	USA	north_america	1994-XX-XX
AF233929	RSV-B	GB3	Homo-sapiens	USA	north_america	1994-XX-XX
KU316117	RSV-B	NA	Homo-sapiens	USA	north_america	1995-XX-XX
KP258705	RSV-B	NA	Homo-sapiens	USA	north_america	1995-XX-XX
KU316159	RSV-B	NA	Homo-sapiens	USA	north_america	1997-XX-XX
KP258724	RSV-B	NA	Homo-sapiens	USA	north_america	1997-XX-XX
AF348813.1	RSV-B	SAB3	Homo-sapiens	South-Africa	Africa	1997-XX-XX
AF348825.1	RSV-B	SAB1	Homo-sapiens	South-Africa	Africa	1997-XX-XX
KP856966	RSV-B	NA	Homo-sapiens	USA	north_america	1998-XX-XX
AY751131	RSV-B	BA1	Homo-sapiens	Belgium	Europe	1999-XX-XX
JX489423	RSV-B	SAB3	Homo-sapiens	Brazil	south_america	2002-XX-XX
DQ227376	RSV-B	BA3	Homo-sapiens	Argentina	south_america	2002-XX-XX
AY751117	RSV-B	BA6	Homo-sapiens	Belgium	Europe	2002-XX-XX
DQ227377	RSV-B	BA2	Homo-sapiens	Argentina	south_america	2002-XX-XX
AB175820	RSV-B	BA5	Homo-sapiens	Japan	Asia	2003-XX-XX
DQ227407	RSV-B	BA4	Homo-sapiens	Argentina	south_america	2004-XX-XX
JX489422	RSV-B	SAB4	Homo-sapiens	Brazil	south_america	2005-XX-XX
KC297479	RSV-B	NA	Homo-sapiens	China	Asia	2007-XX-XX
KC297480	RSV-B	BA09	Homo-sapiens	China	Asia	2007-XX-XX
KF826851	RSV-B	BA09	Homo-sapiens	USA	north_america	2007-XX-XX
KF826822	RSV-B	BA09	Homo-sapiens	USA	north_america	2007-XX-XX
KC297481	RSV-B	NA	Homo-sapiens	China	Asia	2008-XX-XX
KC297483	RSV-B	NA	Homo-sapiens	China	Asia	2008-XX-XX
